ticket_id,complaint_text,date,complaint_type,is_urgent
T1001,Order not delivered. No updates for 5 days,2025-06-01,delivery_delay,True
T1002,Payment deducted but no confirmation. Please help!,2025-06-01,payment_issue,True
T1003,Product damaged on arrival. Need a replacement ASAP,2025-06-02,damaged,True
T1004,Still waiting for refund. It's been 10 days!,2025-06-03,refund,False
T1005,Received wrong item. Want full refund immediately,2025-06-03,"refund, wrong_item",True
T1006,Item was supposed to arrive on Monday. No sign yet.,2025-06-04,delivery_delay,False
T1007,Charged twice for same item. Please fix this quickly,2025-06-04,payment_issue,True
T1008,No invoice received. Need for tax claim,2025-06-04,invoice,False
T1009,Refund processed but amount not credited yet,2025-06-05,refund,False
T1010,Delay in shipping. Tracking info not working,2025-06-05,"delivery_delay, damaged",False
